asset_id,parent_asset_id,asset_type,asset_name,operational_status,voltage_kv,rating_kva,manufacturer,model,serial_number,commissioned_date
GEN-001,SS-T01,GENERATOR,Depre Generator,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-GEN-001,15/1/20
TX-BD,SS-T01,TRANSFORMER,Transformer BD,IN_SERVICE,22,1000,Test Gridworks,TEST-01,SER-TX-BAD-DATE,2026-13-41
TX-NR,SS-T01,TRANSFORMER,Transformer NR,IN_SERVICE,22,-500,Test Gridworks,TEST-01,SER-TX-NEG,15/1/20
PNL-BS,SWB-T01,SWITCHBOARD_PANEL,Panel BS,BROKEN,22,,Test Gridworks,TEST-01,SER-PNL-BAD-STATUS,15/1/20
,SS-T01,TRANSFORMER,MIA ID,IN_SERVICE,22,1000,Test Gridworks,TEST-01,SER-,15/1/20
PNL-N,SWB-T01,SWITCHBOARD_PANEL,,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-NAMELESS,15/1/20
SS-H-P,SS-T01,SUBSTATION,N Substation,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SS-HAS-PARENT,15/1/20
TX-N-P,,TRANSFORMER,R Transformer,IN_SERVICE,22,1000,Test Gridworks,TEST-01,SER-TX-NO-PARENT,15/1/20
PNL-010-2-02,SWB-010-2,SWITCHBOARD_PANEL,Juniper Panel B2,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0100202,12/9/10
PNL-010-2-03,SWB-010-2,SWITCHBOARD_PANEL,Juniper Panel B3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0100203,13/9/10
PNL-010-2-04,SWB-010-2,SWITCHBOARD_PANEL,Juniper Panel B4,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0100204,14/9/10
PNL-010-2-05,SWB-010-2,SWITCHBOARD_PANEL,Juniper Panel B5,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0100205,15/9/10
SS-011,,SUBSTATION,Keystone Substation (North-East),IN_SERVICE,22,,,,SUB-7011,15/3/10
TX-011-1,SS-011,TRANSFORMER,Keystone Transformer T1,IN_SERVICE,22,1000,Northstar Electrical,TXR-1000,TX01101A,12/3/11
TX-011-2,SS-011,TRANSFORMER,Keystone Transformer T2,MAINTENANCE,22,1500,Meridian Power Systems,TXR-1500,TX01102A,12/4/12
TX-011-3,SS-011,TRANSFORMER,Keystone Transformer T3,OUT_OF_SERVICE,22,2000,Arcwell Industries,TXR-2000,TX01103A,12/5/13
LVB-011-1,SS-011,LV_BOARD,Keystone Main LV Board 1,MAINTENANCE,0.4,,Meridian Power Systems,LVB-400,LV01101B,20/6/12
SWB-011-1,SS-011,SWITCHBOARD,Keystone 22kV Switchboard A,OUT_OF_SERVICE,22,,Arcwell Industries,SWB-22,SW01101C,10/9/11
PNL-011-1-01,SWB-011-1,SWITCHBOARD_PANEL,Keystone Panel A1,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0110101,11/9/11
PNL-011-1-02,SWB-011-1,SWITCHBOARD_PANEL,Keystone Panel A2,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0110102,12/9/11
PNL-011-1-03,SWB-011-1,SWITCHBOARD_PANEL,Keystone Panel A3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0110103,13/9/11
PNL-011-1-04,SWB-011-1,SWITCHBOARD_PANEL,Keystone Panel A4,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0110104,14/9/11
PNL-011-1-05,SWB-011-1,SWITCHBOARD_PANEL,Keystone Panel A5,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0110105,15/9/11
SWB-011-2,SS-011,SWITCHBOARD,Keystone 22kV Switchboard B,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW01102C,10/9/11
PNL-011-2-01,SWB-011-2,SWITCHBOARD_PANEL,Keystone Panel B1,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0110201,11/9/11
PNL-011-2-02,SWB-011-2,SWITCHBOARD_PANEL,Keystone Panel B2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0110202,12/9/11
PNL-011-2-03,SWB-011-2,SWITCHBOARD_PANEL,Keystone Panel B3,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0110203,13/9/11
PNL-011-2-04,SWB-011-2,SWITCHBOARD_PANEL,Keystone Panel B4,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0110204,14/9/11
PNL-011-2-05,SWB-011-2,SWITCHBOARD_PANEL,Keystone Panel B5,MAINTENANCE,22,,Arcwell Industries,PNL-22,PN0110205,15/9/11
SS-012,,SUBSTATION,Lighthouse Substation (South-West),IN_SERVICE,22,,,,SUB-7012,15/4/11
TX-012-1,SS-012,TRANSFORMER,Lighthouse Transformer T1,MAINTENANCE,22,1500,Meridian Power Systems,TXR-1500,TX01201A,12/3/12
TX-012-2,SS-012,TRANSFORMER,Lighthouse Transformer T2,OUT_OF_SERVICE,22,2000,Arcwell Industries,TXR-2000,TX01202A,12/4/13
LVB-012-1,SS-012,LV_BOARD,Lighthouse Main LV Board 1,OUT_OF_SERVICE,0.4,,Arcwell Industries,LVB-400,LV01201B,20/6/13
LVB-012-2,SS-012,LV_BOARD,Lighthouse Main LV Board 2,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,LV01202B,20/6/13
SWB-012-1,SS-012,SWITCHBOARD,Lighthouse 22kV Switchboard A,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW01201C,10/9/12
PNL-012-1-01,SWB-012-1,SWITCHBOARD_PANEL,Lighthouse Panel A1,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0120101,11/9/12
PNL-012-1-02,SWB-012-1,SWITCHBOARD_PANEL,Lighthouse Panel A2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0120102,12/9/12
PNL-012-1-03,SWB-012-1,SWITCHBOARD_PANEL,Lighthouse Panel A3,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0120103,13/9/12
PNL-012-1-04,SWB-012-1,SWITCHBOARD_PANEL,Lighthouse Panel A4,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0120104,14/9/12
PNL-012-1-05,SWB-012-1,SWITCHBOARD_PANEL,Lighthouse Panel A5,MAINTENANCE,22,,Arcwell Industries,PNL-22,PN0120105,15/9/12
SWB-012-2,SS-012,SWITCHBOARD,Lighthouse 22kV Switchboard B,IN_SERVICE,22,,Northstar Electrical,SWB-22,SW01202C,10/9/12
PNL-012-2-01,SWB-012-2,SWITCHBOARD_PANEL,Lighthouse Panel B1,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0120201,11/9/12
PNL-012-2-02,SWB-012-2,SWITCHBOARD_PANEL,Lighthouse Panel B2,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0120202,12/9/12
PNL-012-2-03,SWB-012-2,SWITCHBOARD_PANEL,Lighthouse Panel B3,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0120203,13/9/12
PNL-012-2-04,SWB-012-2,SWITCHBOARD_PANEL,Lighthouse Panel B4,MAINTENANCE,22,,Arcwell Industries,PNL-22,PN0120204,14/9/12
PNL-012-2-05,SWB-012-2,SWITCHBOARD_PANEL,Lighthouse Panel B5,OUT_OF_SERVICE,22,,Helios Gridworks,PNL-22,PN0120205,15/9/12
